2025-07-02 15:19:25,859 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\João Victor\OneDrive\Documentos\GitHub\MOM-Protocol\apache-activemq-6.1.7\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:25,866 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\João Victor\OneDrive\Documentos\GitHub\MOM-Protocol\apache-activemq-6.1.7\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:25,889 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2025-07-02 15:19:25,890 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2025-07-02 15:19:26,224 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:26,224 | INFO  | PListStore:[C:\Users\João Victor\OneDrive\Documentos\GitHub\MOM-Protocol\apache-activemq-6.1.7\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2025-07-02 15:19:26,225 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:26,225 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:26,371 | INFO  | Apache ActiveMQ 6.1.7 (localhost, ID:DESKTOP-EHTGA30-57267-1751480366235-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2025-07-02 15:19:26,398 | INFO  | Listening for connections at: tcp://DESKTOP-EHTGA30:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-07-02 15:19:26,399 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2025-07-02 15:19:26,404 | INFO  | Listening for connections at: amqp://DESKTOP-EHTGA30:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
